Date,market,side,,price,size,cost,hours_to_close_at_entry,Timestamp,Resolution,trade_resolved_timestamp,Payout,P&L,
2026-01-29,msft-close-above-490-on-january-28-2026,NO,0.88,0.8356,0.74,3.79,2026-01-29T08:05:57.544Z,NO,2026-01-29T08:08:10.026Z,0.84,0.1,0.09,
2026-01-29,aapl-up-or-down-on-january-28-2026,NO,0.96,0.7659,0.74,3.79,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:10.387Z,0.77,0.03,0.02,
2026-01-29,egy1-pyf-egs-2026-01-28-total-3pt5,NO,0.88,0.8356,0.74,0.77,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:10.969Z,0.84,0.1,0.09,
2026-01-29,egy1-ems-ccc-2026-01-28-total-3pt5,NO,0.82,0.8967,0.74,0.77,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:12.396Z,0,-0.74,-0.74,
2026-01-29,egy1-ems-ccc-2026-01-28-total-4pt5,NO,0.96,0.7659,0.74,0.77,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:13.015Z,0,-0.74,-0.74,
2026-01-29,col1-alf-bcf-2026-01-28-total-4pt5,NO,0.95,0.774,0.74,3.94,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:13.826Z,0.77,0.04,0.03,
2026-01-29,egy1-pyf-egs-2026-01-28-egs,NO,0.94,0.7822,0.74,0.76,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:14.155Z,0.78,0.05,0.04,
2026-01-29,col1-alf-bcf-2026-01-28-bcf,NO,0.89,0.8262,0.74,3.93,2026-01-29T08:05:57.545Z,NO,2026-01-29T08:08:14.655Z,0.83,0.09,0.08,
2026-01-29,ucl-atm-bog1-2026-01-28-total-1pt5,YES,0.93,0.7906,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:15.270Z,0.79,0.06,0.05,
2026-01-29,ucl-ars-kai1-2026-01-28-total-1pt5,YES,0.94,0.7822,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:15.678Z,0.78,0.05,0.04,
2026-01-29,ucl-ars-kai1-2026-01-28-total-2pt5,YES,0.82,0.8967,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:16.163Z,0.9,0.16,0.15,
2026-01-29,ucl-paf-slp-2026-01-28-total-1pt5,YES,0.81,0.9078,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:16.599Z,0.91,0.17,0.16,
2026-01-29,ucl-paf-slp-2026-01-28-total-4pt5,NO,0.82,0.8967,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:17.315Z,0,-0.74,-0.74,
2026-01-29,ucl-bru1-olm-2026-01-28-total-1pt5,YES,0.84,0.8754,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:17.725Z,0.88,0.14,0.13,
2026-01-29,ucl-fcb1-kob1-2026-01-28-total-1pt5,YES,0.94,0.7822,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:18.648Z,0.78,0.05,0.04,
2026-01-29,ucl-fcb1-kob1-2026-01-28-total-2pt5,YES,0.83,0.8859,0.74,2.76,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:19.160Z,0.89,0.15,0.14,
2026-01-29,ucl-liv1-qar1-2026-01-28-total-1pt5,YES,0.94,0.7822,0.74,2.75,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:19.776Z,0.78,0.05,0.04,
2026-01-29,ucl-liv1-qar1-2026-01-28-total-2pt5,YES,0.82,0.8967,0.74,2.75,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:20.183Z,0.9,0.16,0.15,
2026-01-29,ucl-ben1-rma1-2026-01-28-total-1pt5,YES,0.85,0.8651,0.74,2.75,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:20.594Z,0.87,0.13,0.12,
2026-01-29,ucl-ath1-spo1-2026-01-28-total-4pt5,NO,0.87,0.8452,0.74,2.74,2026-01-29T08:05:57.545Z,YES,2026-01-29T08:08:21.206Z,0,-0.74,-0.74,
